Componente1,Componente2
-0.9999992104317518,-0.001256636730702036
-0.9999968417282541,-0.0025132714770037144
-0.9999928938932473,-0.003769902254506234
-0.9999873669329657,-0.005026527078818516
-0.9999802608561371,-0.006283143965558882
-0.999971575673983,-0.0075397509303572995
-0.9999613114002183,-0.008796345988858962
-0.9999494680510518,-0.010052927156730526
-0.9999360456451858,-0.011309492449657923
-0.9999210442038161,-0.012566039883352592
-0.999904463750632,-0.013822567473555066
-0.9998863043118164,-0.01507907323603677
-0.9998665659160453,-0.01633555518660404
-0.9998452485944885,-0.017592011341099924
-0.999822352380809,-0.01884843971540777
-0.999797877311163,-0.020104838325457446
-0.9997718234241998,-0.021361205187223172
-0.9997441907610622,-0.022617538316729736
-0.9997149793653861,-0.023873835730056085
-0.9996841892832999,-0.02513009544333757
-0.9996518205634257,-0.026386315472767735
-0.999617873256878,-0.027642493834604136
-0.9995823474172643,-0.028898628545169672
-0.9995452431006845,-0.03015471762085662
-0.9995065603657316,-0.03141075907812844
-0.9994662992734908,-0.03266675093352332
-0.99942445988754,-0.03392269120366049
-0.9993810422739492,-0.03517857790523791
-0.9993360465012808,-0.036434409055038634
-0.9992894726405892,-0.03769018266993429
-0.9992413207654209,-0.03894589676688738
-0.9991915909518144,-0.040201549362953067
-0.9991402832782997,-0.04145713847528538
-0.9990873978258987,-0.042712662121136405
-0.9990329346781247,-0.04396811831786471
-0.9989768939209825,-0.0452235050829327
-0.9989192756429681,-0.046478820433912875
-0.9988600799350685,-0.04773406238849139
-0.998799306890762,-0.04898922896447032
-0.9987369566060175,-0.05024431817976942
-0.9986730291792945,-0.05149932805243194
-0.9986075247115431,-0.05275425660062644
-0.998540443306204,-0.05400910184264856
-0.9984717850692078,-0.055263861796927265
-0.998401550108975,-0.056518534482024436
-0.9983297385364166,-0.05777311791664109
-0.9982563504649326,-0.05902761011961917
-0.9981813860104128,-0.06028200910994337
-0.9981048452912364,-0.061536312906746916
-0.9980267284282716,-0.06279051952931335
-0.9979470355448755,-0.0640446269970783
-0.9978657667668942,-0.06529863332963583
-0.9977829222226622,-0.06655253654673786
-0.9976985020430021,-0.0678063346683005
-0.9976125063612252,-0.06906002571440581
-0.9975249353131302,-0.07031360770530365
-0.9974357890370039,-0.07156707866141736
-0.9973450676736202,-0.07282043660334567
-0.9972527713662408,-0.0740736795518644
-0.9971589002606139,-0.07532680552793279
-0.997063454504975,-0.07657981255269297
-0.9969664342500459,-0.07783269864747626
-0.9968678396490348,-0.07908546183380494
-0.9967676708576361,-0.08033810013339407
-0.9966659280340299,-0.08159061156815724
-0.996562611338882,-0.08284299416020835
-0.9964577209353438,-0.08409524593186347
-0.9963512569890512,-0.08534736490564658
-0.9962432196681256,-0.08659934910429133
-0.9961336091431725,-0.0878511965507429
-0.9960224255872819,-0.08910290526816421
-0.995909669176028,-0.09035447327993543
-0.9957953400874683,-0.09160589860966027
-0.9956794385021441,-0.09285717928116778
-0.99556196460308,-0.09410831331851455
-0.9954429185757833,-0.09535929874598825
-0.9953223006082436,-0.09661013358811392
-0.9952001108909334,-0.09786081586965129
-0.9950763496168069,-0.09911134361560318
-0.9949510169813002,-0.10036171485121473
-0.9948241131823303,-0.10161192760197951
-0.994695638420296,-0.1028619798936414
-0.9945655928980761,-0.10411186975219631
-0.9944339768210305,-0.10536159520389798
-0.9943007903969989,-0.1066111542752598
-0.9941660338363008,-0.10786054499305699
-0.9940297073517352,-0.1091097653843306
-0.9938918111585803,-0.1103588134763916
-0.9937523454745929,-0.11160768729682254
-0.9936113105200084,-0.11285638487348164
-0.9934687065175403,-0.11410490423450408
-0.9933245336923797,-0.11535324340830784
-0.9931787922721953,-0.1166014004235954
-0.9930314824871325,-0.11784937330935602
-0.9928826045698137,-0.1190971600948693
-0.9927321587553374,-0.12034475880971134
-0.992580145281278,-0.12159216748375258
-0.9924265643876858,-0.12283938414716405
-0.9922714163170857,-0.12408640683042081
-0.9921147013144779,-0.12533323356430384
-0.9919564196273365,-0.126579862379904
-0.9917965715056102,-0.12782629130862377
-0.9916351572017208,-0.12907251838218084
-0.9914721769705636,-0.13031854163261436
-0.9913076310695066,-0.13156435909228262
-0.9911415197583903,-0.13280996879386936
-0.990973843299527,-0.13405536877038732
-0.9908046019577008,-0.1353005570551799
-0.9906337960001669,-0.13654553168192532
-0.9904614256966513,-0.13779029068463777
-0.99028749131935,-0.13903483209767384
-0.9901119931429292,-0.14027915395573223
-0.9899349314445248,-0.1415232542938581
-0.9897563065037409,-0.14276713114744888
-0.989576118602651,-0.14401078255225194
-0.9893943680257962,-0.14525420654437285
-0.9892110550601856,-0.14649740116027493
-0.9890261799952954,-0.14774036443678337
-0.9888397431230684,-0.14898309441109076
-0.9886517447379141,-0.15022558912075687
-0.9884621851367072,-0.1514678466037125
-0.9882710646187888,-0.15270986489826313
-0.9880783834859638,-0.15395164204309314
-0.9878841420425023,-0.15519317607726568
-0.9876883405951378,-0.15643446504023073
-0.9874909794530676,-0.15767550697182234
-0.9872920589279519,-0.15891629991226672
-0.9870915793339134,-0.16015684190218207
-0.9868895409875369,-0.16139713098258232
-0.9866859442078681,-0.16263716519488308
-0.9864807893164145,-0.16387694258090107
-0.9862740766371434,-0.16511646118285808
-0.9860658064964825,-0.16635571904338467
-0.9858559792233187,-0.16759471420552438
-0.9856445951489982,-0.16883344471273343
-0.9854316546073247,-0.17007190860888896
-0.9852171579345609,-0.1713101039382862
-0.9850011054694261,-0.1725480287456465
-0.9847834975530967,-0.17378568107611728
-0.9845643345292054,-0.17502305897527565
-0.9843436167438403,-0.17626016048913473
-0.9841213445455451,-0.1774969836641411
-0.9838975182853179,-0.17873352654718302
-0.9836721383166108,-0.17996978718559004
-0.9834452049953296,-0.18120576362713745
-0.9832167186798333,-0.1824414539200497
-0.9829866797309323,-0.1836768561130045
-0.9827550885118901,-0.18491196825513226
-0.9825219453884206,-0.18614678839602192
-0.9822872507286886,-0.18738131458572477
-0.9820510049033093,-0.18861554487475413
-0.9818132082853466,-0.18984947731409368
-0.9815738612503142,-0.19108310995519437
-0.9813329641761736,-0.1923164408499827
-0.9810905174433341,-0.19354946805086046
-0.9808465214346523,-0.1947821896107089
-0.9806009765354313,-0.19601460358289247
-0.9803538831334198,-0.19724670802126257
-0.980105241618812,-0.19847850098015724
-0.9798550523842469,-0.19970998051440683
-0.9796033158248074,-0.20094114467933794
-0.9793500323380201,-0.20217199153077298
-0.9790952023238538,-0.20340251912503854
-0.9788388261847203,-0.20463272551896225
-0.9785809043254722,-0.2058626087698812
-0.9783214371534033,-0.20709216693564136
-0.9780604250782479,-0.20832139807460262
-0.9777978685121798,-0.20955030024564034
-0.9775337678698113,-0.21077887150815156
-0.9772681235681935,-0.21200710992205454
-0.977000936026815,-0.21323501354779276
-0.9767322056676015,-0.21446258044633834
-0.976461932914915,-0.21568980867919563
-0.9761901181955527,-0.21691669630840496
-0.9759167619387474,-0.2181432413965425
-0.975641864576166,-0.2193694420067257
-0.9753654265419087,-0.22059529620261725
-0.9750874482725091,-0.22182080204842564
-0.974807930206933,-0.223045957608909
-0.9745268727865772,-0.22427076094938075
-0.9742442764552699,-0.22549521013570928
-0.9739601416592691,-0.2267193032343217
-0.9736744688472628,-0.22794303831220755
-0.9733872584703673,-0.22916641343692204
-0.9730985109821266,-0.2303894266765902
-0.9728082268385128,-0.23161207609990633
-0.9725164064979239,-0.23283435977613967
-0.9722230504211842,-0.2340562757751383
-0.971928159071543,-0.23527782216732965
-0.971631732914674,-0.23649899702372437
-0.9713337724186746,-0.23771979841592195
-0.9710342780540648,-0.2389402244161104
-0.9707332502937873,-0.24016027309707
-0.9704306896132061,-0.24137994253217737
-0.9701265964901059,-0.24259923079540716
-0.969820971404691,-0.24381813596133803
-0.9695138148395851,-0.24503665610515235
-0.9692051272798304,-0.24625478930264008
-0.9688949092128869,-0.2474725336302022
-0.9685831611286311,-0.24868988716485502
-0.968269883519356,-0.24990684798422988
-0.9679550768797691,-0.25112341416658124
-0.9676387417069937,-0.2523395837907838
-0.9673208785005658,-0.2535553549363405
-0.967001487762435,-0.25477072568338244
-0.9666805699969631,-0.25598569411267236
-0.9663581257109225,-0.25720025830561055
-0.9660341554134971,-0.25841441634423445
-0.96570865961628,-0.2596281663112223
-0.9653816388332739,-0.26084150628989683
-0.9650530935808889,-0.2620544343642294
-0.964723024377943,-0.2632669486188398
-0.9643914317456602,-0.2644790471390042
-0.9640583162076709,-0.2656907280106523
-0.9637236782900097,-0.2669019893203755
-0.9633875185211157,-0.2681128291554264
-0.9630498374318314,-0.2693232456037228
-0.9627106355554007,-0.27053323675385316
-0.96236991342747,-0.2717428006950763
-0.9620276715860859,-0.2729519355173252
-0.9616839105716952,-0.2741606393112106
-0.9613386309271432,-0.275368910168025
-0.9609918331976741,-0.27657674617974254
-0.9606435179309282,-0.277784145439027
-0.9602936856769431,-0.2789911060392293
-0.9599423369881518,-0.2801976260743934
-0.9595894724193816,-0.2814037036392605
-0.9592350925278543,-0.28260933682926803
-0.9588791978731835,-0.28381452374055843
-0.958521789017376,-0.2850192624699758
-0.9581628665248286,-0.286223551115074
-0.9578024309623293,-0.2874273877741166
-0.957440482899055,-0.2886307705460806
-0.9570770229065713,-0.2898336975306605
-0.9567120515588305,-0.29103616682827155
-0.9563455694321727,-0.29223817654004985
-0.9559775771053232,-0.29343972476785746
-0.9556080751593917,-0.2946408096142867
-0.9552370641778729,-0.2958414291826592
-0.9548645447466431,-0.2970415815770347
-0.9544905174539616,-0.2982412649022073
-0.9541149828904685,-0.2994404772637142
-0.9537379416491842,-0.300639216767835
-0.9533593943255084,-0.3018374815215959
-0.952979341517219,-0.3030352696327734
-0.9525977838244709,-0.3042325792098977
-0.9522147218497959,-0.30542940836225285
-0.9518301561981014,-0.3066257551998817
-0.9514440874766689,-0.30782161783359024
-0.9510565162951538,-0.3090169943749469
-0.9506674432655834,-0.31021188293629054
-0.9502768690023574,-0.3114062816307282
-0.9498847941222461,-0.31260018857214095
-0.949491219244389,-0.31379360187518757
-0.9490961449902945,-0.31498651965530516
-0.9486995719838391,-0.31617894002871283
-0.9483015008512655,-0.31737086111241736
-0.9479019322211821,-0.31856228102421263
-0.9475008667245627,-0.3197531978826835
-0.9470983049947443,-0.3209436098072095
-0.946694247667427,-0.32213351491796743
-0.9462886953806721,-0.32332291133593616
-0.9458816487749021,-0.3245117971828954
-0.9454731084928996,-0.32570017058143186
-0.9450630751798048,-0.3268880296549425
-0.9446515494831167,-0.32807537252763525
-0.9442385320526908,-0.3292621973245329
-0.9438240235407375,-0.33044850217147825
-0.9434080246018223,-0.3316342851951341
-0.9429905358928644,-0.33281954452298673
-0.9425715580731359,-0.33400427828334944
-0.9421510918042596,-0.33518848460536604
-0.9417291377502088,-0.33637216161901423
-0.941305696577307,-0.33755530745510565
-0.9408807689542256,-0.3387379202452911
-0.9404543555519831,-0.3399199981220644
-0.9400264570439445,-0.3411015392187628
-0.9395970741058204,-0.34228254166957084
-0.9391662074156644,-0.34346300360952614
-0.9387338576538742,-0.34464292317451684
-0.9383000255031889,-0.3458222985012897
-0.9378647116486888,-0.3470011277274498
-0.9374279167777941,-0.348179408991464
-0.9369896415802632,-0.3493571404326666
-0.9365498867481924,-0.3505343201912588
-0.9361086529760148,-0.35171094640831285
-0.9356659409604988,-0.3528870172257748
-0.9352217514007469,-0.35406253078646915
-0.9347760849981955,-0.35523748523409837
-0.9343289424566121,-0.3564118787132506
-0.9338803244820961,-0.35758570936939693
-0.9334302317830764,-0.3587589753488995
-0.9329786650703108,-0.35993167479901067
-0.9325256250568852,-0.3611038058678771
-0.9320711124582112,-0.3622753667045452
-0.9316151279920261,-0.36344635545896037
-0.9311576723783918,-0.36461677028197115
-0.9306987463396932,-0.3657866093253324
-0.9302383506006371,-0.3669558707417094
-0.9297764858882516,-0.3681245526846775
-0.9293131529318834,-0.36929265330873007
-0.928848352463199,-0.37046017076927557
-0.9283820852161815,-0.37162710322264536
-0.9279143519271307,-0.37279344882609344
-0.9274451533346615,-0.3739592057378
-0.926974490179702,-0.3751243721168775
-0.9265023632054941,-0.3762889461233679
-0.9260287731575901,-0.3774529259182507
-0.9255537207838539,-0.37861630966344245
-0.925077206834458,-0.37977909552180117
-0.924599232061883,-0.38094128165712915
-0.9241197972209159,-0.3821028662341771
-0.9236389030686498,-0.3832638474186436
-0.9231565503644826,-0.3844242233771805
-0.9226727398701148,-0.38558399227739665
-0.9221874723495496,-0.38674315228785733
-0.9217007485690899,-0.3879017015780923
-0.9212125692973395,-0.3890596383185929
-0.9207229353052,-0.3902169606808198
-0.9202318473658703,-0.3913736668372026
-0.9197393062548455,-0.3925297549611439
-0.9192453127499151,-0.3936852232270229
-0.9187498676311618,-0.3948400698101986
-0.9182529716809618,-0.3959942928870098
-0.9177546256839813,-0.3971478906347804
-0.9172548304271765,-0.39830086123182284
-0.9167535866997925,-0.39945320285743874
-0.9162508952933619,-0.40060491369192264
-0.9157467570017026,-0.4017559919165671
-0.9152411726209176,-0.4029064357136625
-0.914734142949394,-0.40405624326650064
-0.914225668787801,-0.40520541275937805
-0.9137157509390885,-0.40635394237759964
-0.9132043902084864,-0.4075018303074804
-0.9126915874035029,-0.4086490747363489
-0.9121773433339238,-0.4097956738525494
-0.9116616588118107,-0.4109416258454448
-0.9111445346514998,-0.41208692890542137
-0.9106259716696011,-0.413231581223888
-0.9101059706849957,-0.4143755809932841
-0.9095845325188365,-0.4155189264070766
-0.9090616579945454,-0.41666161565976795
-0.9085373479378127,-0.4178036469468953
-0.9080116031765958,-0.4189450184650347
-0.9074844245411171,-0.42008572841180586
-0.9069558128638635,-0.42122577498587205
-0.9064257689795853,-0.4223651563869438
-0.9058942937252942,-0.42350387081578184
-0.9053613879402618,-0.4246419164742016
-0.9048270524660197,-0.42577929156507227
-0.9042912881463557,-0.4269159942923251
-0.9037540958273156,-0.42805202286095007
-0.9032154763571987,-0.42918737547700375
-0.9026754305865591,-0.43032205034760906
-0.902133959368203,-0.43145604568095863
-0.9015910635571869,-0.43258935968632034
-0.9010467440108173,-0.43372199057403665
-0.9005010015886493,-0.4348539365555283
-0.8999538371524849,-0.4359851958432978
-0.899405251566371,-0.43711576665093305
-0.8988552456965997,-0.4382456471931072
-0.8983038204117045,-0.43937483568558633
-0.8977509765824618,-0.4405033303452269
-0.8971967150818875,-0.4416311293899813
-0.8966410367852358,-0.4427582310389017
-0.8960839425699991,-0.44388463351213964
-0.8955254333159045,-0.44501033503095344
-0.894965509904915,-0.44613533381770554
-0.8944041732212256,-0.44725962809587005
-0.8938414241512637,-0.44838321609003245
-0.8932772635836872,-0.44950609602589364
-0.8927116924093825,-0.45062826613027285
-0.8921447115214632,-0.45174972463111146
-0.89157632181527,-0.45287046975747275
-0.8910065241883679,-0.4539904997395467
-0.8904353195405448,-0.45510981280865387
-0.8898627087738112,-0.456228407197245
-0.8892886927923972,-0.4573462811389084
-0.8887132725027527,-0.45846343286836744
-0.8881364488135446,-0.45957986062148776
-0.8875582226356564,-0.4606955626352772
-0.8869785948821864,-0.46181053714788955
-0.8863975664684459,-0.4629247823986279
-0.8858151383119576,-0.46403829662794804
-0.8852313113324553,-0.4651510780774583
-0.8846460864518817,-0.46626312498992445
-0.8840594645943864,-0.4673744356092734
-0.883471446686326,-0.46848500818059285
-0.8828820336562603,-0.46959484095013865
-0.8822912264349533,-0.4707039321653326
-0.8816990259553703,-0.4718122800747679
-0.8811054331526765,-0.47291988292821263
-0.880510448964236,-0.4740267389766104
-0.8799140743296106,-0.47513284647208365
-0.8793163101905564,-0.4762382036679388
-0.8787171574910249,-0.4773428088186659
-0.8781166171771598,-0.4784466601799424
-0.8775146901972969,-0.4795497560086358
-0.8769113775019607,-0.48065209456280733
-0.8763066800438637,-0.481753674101715
-0.8757005987779064,-0.48285449288581367
-0.8750931346611738,-0.4839545491767598
-0.8744842886529343,-0.4850538412374151
-0.8738740617146391,-0.48615236733184697
-0.8732624548099203,-0.4872501257253321
-0.8726494689045879,-0.48834711468436115
-0.8720351049666305,-0.48944333247663896
-0.8714193639662127,-0.4905387773710875
-0.8708022468756738,-0.49163344763784944
-0.870183754669526,-0.492727341548291
-0.8695638883244522,-0.4938204573750055
-0.8689426488193064,-0.49491279339181315
-0.8683200371351109,-0.49600434787376585
-0.8676960542550539,-0.4970951190971508
-0.8670707011644899,-0.49818510533949106
-0.8664439788509373,-0.49927430487954877
-0.8658158883040751,-0.5003627159973307
-0.8651864305157447,-0.501450336974086
-0.8645556064799456,-0.5025371660923135
-0.8639234171928352,-0.5036232016357611
-0.863289863652727,-0.5047084418894299
-0.8626549468600879,-0.5057928851395785
-0.8620186678175383,-0.5068765296737229
-0.8613810275298498,-0.5079593737806402
-0.8607420270039436,-0.5090414157503712
-0.8601016672488885,-0.510122653874225
-0.8594599492759004,-0.5112030864447775
-0.8588168740983388,-0.5122827117558799
-0.8581724427317079,-0.5133615281026555
-0.8575266561936522,-0.5144395337815064
-0.8568795155039572,-0.5155167270901145
-0.8562310216845467,-0.5165931063274435
-0.8555811757594802,-0.517668669793745
-0.8549299787549534,-0.5187434157905573
-0.8542774316992952,-0.5198173426207096
-0.8536235356229668,-0.5208904485883242
-0.8529682915585589,-0.5219627319988213
-0.8523117005407921,-0.5230341911589177
-0.8516537636065121,-0.5241048243766347
-0.8509944817946921,-0.5251746299612954
-0.8503338561464273,-0.5262436062235313
-0.8496718877049363,-0.5273117514752825
-0.8490085775155579,-0.5283790640298014
-0.8483439266257485,-0.5294455422016571
-0.8476779360850834,-0.5305111843067338
-0.847010606945252,-0.5315759886622381
-0.8463419402600584,-0.532639953586698
-0.8456719370854187,-0.5337030773999675
-0.8450005984793594,-0.5347653584232288
-0.8443279255020152,-0.5358267949789964
-0.8436539192156289,-0.5368873853911164
-0.8429785806845487,-0.5379471279847712
-0.8423019109752259,-0.5390060210864834
-0.8416239111562149,-0.5400640630241154
-0.8409445822981692,-0.5411212521268757
-0.8402639254738423,-0.5421775867253175
-0.839581941758084,-0.5432330651513448
-0.8388986322278397,-0.5442876857382131
-0.8382139979621487,-0.5453414468205319
-0.837528040042142,-0.5463943467342686
-0.8368407595510401,-0.5474463838167517
-0.8361521575741532,-0.5484975564066704
-0.8354622351988779,-0.5495478628440792
-0.8347709935146954,-0.5505973014704016
-0.8340784336131715,-0.5516458706284298
-0.8333845565879517,-0.5526935686623313
-0.8326893635347633,-0.5537403939176468
-0.8319928555514107,-0.5547863447412973
-0.831295033737775,-0.555831419481583
-0.8305958991958127,-0.556875616488188
-0.8298954530295521,-0.5579189341121831
-0.8291936963450935,-0.5589613707060272
-0.8284906302506062,-0.5600029246235713
-0.8277862558563278,-0.561043594220059
-0.8270805742745618,-0.5620833778521306
-0.8263735866196757,-0.5631222738778259
-0.825665294008099,-0.5641602806565874
-0.8249556975583227,-0.5651973965492598
-0.8242447983908967,-0.5662336199180954
-0.8235325976284273,-0.5672689491267565
-0.8228190963955772,-0.568303382540317
-0.8221042958190625,-0.5693369185252642
-0.8213881970276502,-0.5703695554495052
-0.8206708011521581,-0.571401291682365
-0.8199521093254523,-0.572432125594591
-0.8192321226824456,-0.5734620555583555
-0.8185108423600953,-0.5744910799472583
-0.8177882694974007,-0.5755191971363308
-0.8170644052354034,-0.5765464055020346
-0.816339250717184,-0.5775727034222674
-0.8156128070878603,-0.5785980892763652
-0.814885075494586,-0.5796225614451035
-0.8141560570865491,-0.5806461183107002
-0.8134257530149686,-0.5816687582568203
-0.8126941644330941,-0.5826904796685759
-0.8119612924962041,-0.5837112809325289
-0.8112271383616038,-0.5847311604366945
-0.8104917031886224,-0.5857501165705441
-0.8097549881386126,-0.5867681477250069
-0.8090169943749476,-0.587785252292473
-0.8082777230630205,-0.5888014286667952
-0.807537175370242,-0.589816675243292
-0.8067953524660375,-0.590830990418751
-0.8060522555218473,-0.5918443725914292
-0.805307885711122,-0.5928568201610591
-0.8045622442093238,-0.593868331528847
-0.8038153321939219,-0.5948789050974788
-0.8030671508443925,-0.5958885392711205
-0.8023177013422167,-0.5968972324554215
-0.8015669848708769,-0.5979049830575185
-0.8008150026158566,-0.5989117894860357
-0.8000617557646389,-0.5999176501510881
-0.7993072455067036,-0.6009225634642839
-0.7985514730335248,-0.6019265278387286
-0.7977944395385712,-0.6029295416890244
-0.7970361462173011,-0.6039316034312768
-0.7962765942671638,-0.6049327114830926
-0.795515784887595,-0.6059328642635863
-0.7947537192800169,-0.6069320601933795
-0.7939903986478356,-0.607930297694605
-0.7932258241964377,-0.6089275751909107
-0.7924599971331907,-0.6099238911074589
-0.7916929186674403,-0.6109192438709308
-0.7909245900105084,-0.6119136319095279
-0.7901550123756903,-0.6129070536529766
-0.7893841869782549,-0.6138995075325273
-0.7886121150354396,-0.6148909919809613
-0.787838797766452,-0.6158815054325885
-0.7870642363924659,-0.6168710463232527
-0.7862884321366188,-0.6178596130903344
-0.7855113862240124,-0.6188472041727509
-0.7847330998817071,-0.6198338180109622
-0.7839535743387243,-0.6208194530469695
-0.7831728108260404,-0.6218041077243212
-0.782390810576588,-0.6227877804881127
-0.7816075748252524,-0.6237704697849902
-0.78082310480887,-0.6247521740631532
-0.7800374017662248,-0.6257328917723577
-0.7792504669380501,-0.6267126213639157
-0.7784623015670236,-0.6276913612907004
-0.7776729068977651,-0.6286691100071482
-0.7768822841768379,-0.6296458659692596
-0.7760904346527417,-0.630621627634605
-0.775297359575916,-0.6315963934623224
-0.7745030601987339,-0.6325701619131243
-0.7737075377755029,-0.6335429314492971
-0.7729107935624618,-0.6345147005347044
-0.7721128288177784,-0.6354854676347902
-0.7713136448015472,-0.6364552312165819
-0.7705132427757893,-0.6374239897486896
-0.769711624004449,-0.6383917417013112
-0.7689087897533914,-0.6393584855462348
